Player,Game Type,Rk,G,Date,Age,Tm,Venue,Opp,Outcome,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Game
Kareem Abdul Jabbar,Regular Season,3,3,10/19/80,33-186,LAL,,GSW,W (+18),1,32:00:00,12,15,0.8,0,0,,5,7,0.714,2,7,9,6,1,0,4,2,29,858
Kareem Abdul Jabbar,Regular Season,4,4,10/21/80,33-188,LAL,@,POR,L (-4),1,40:00:00,8,22,0.364,0,0,,9,10,0.9,6,9,15,1,2,4,3,2,25,859
Kareem Abdul Jabbar,Regular Season,5,5,10/24/80,33-191,LAL,,SEA,W (+6),1,39:00:00,12,23,0.522,0,0,,2,3,0.667,1,9,10,7,1,2,4,4,26,860
Kareem Abdul Jabbar,Regular Season,6,6,10/25/80,33-192,LAL,@,UTA,W (+28),1,28:00:00,3,6,0.5,0,0,,5,8,0.625,0,6,6,5,0,5,2,1,11,861
Kareem Abdul Jabbar,Regular Season,7,7,10/26/80,33-193,LAL,,SAS,L (-6),1,42:00:00,10,17,0.588,0,0,,10,17,0.588,5,7,12,4,0,6,4,3,30,862
Kareem Abdul Jabbar,Regular Season,8,8,10/28/80,33-195,LAL,@,SDC,W (+30),1,31:00:00,7,17,0.412,0,0,,2,2,1,,,10,3,0,1,1,4,16,863
Kareem Abdul Jabbar,Regular Season,9,9,10/31/80,33-198,LAL,,CLE,W (+9),1,36:00:00,5,12,0.417,0,0,,5,6,0.833,2,9,11,4,0,4,7,1,15,864
Kareem Abdul Jabbar,Regular Season,10,10,11/2/80,33-200,LAL,,DEN,L (-2),1,39:00:00,11,21,0.524,0,0,,0,0,,2,8,10,3,1,4,4,4,22,865
Kareem Abdul Jabbar,Regular Season,11,11,11/4/80,33-202,LAL,,POR,W (+1),1,41:00:00,12,16,0.75,0,0,,4,4,1,1,8,9,8,2,4,6,3,28,866
Kareem Abdul Jabbar,Regular Season,12,12,11/7/80,33-205,LAL,@,DAL,W (+24),1,28:00:00,7,13,0.538,0,0,,4,4,1,0,4,4,3,0,4,3,3,18,867
Kareem Abdul Jabbar,Regular Season,13,13,11/8/80,33-206,LAL,@,SAS,L (-3),1,39:00:00,9,19,0.474,0,0,,5,7,0.714,,,8,1,2,3,3,3,23,868
Kareem Abdul Jabbar,Regular Season,14,14,11/11/80,33-209,LAL,@,ATL,W (+29),1,29:00:00,8,11,0.727,0,0,,3,4,0.75,3,7,10,8,0,5,2,3,19,869
Kareem Abdul Jabbar,Regular Season,15,15,11/12/80,33-210,LAL,@,HOU,L (-3),1,40:00:00,7,21,0.333,0,0,,4,4,1,2,8,10,4,2,3,3,4,18,870
Kareem Abdul Jabbar,Regular Season,16,16,11/14/80,33-212,LAL,,SDC,W (+13),1,29:00:00,9,17,0.529,0,0,,3,3,1,,,10,2,0,3,5,2,21,871
Kareem Abdul Jabbar,Regular Season,17,17,11/16/80,33-214,LAL,,DAL,W (+8),1,33:00:00,8,13,0.615,0,0,,1,3,0.333,2,9,11,6,1,5,2,4,17,872
Kareem Abdul Jabbar,Regular Season,18,18,11/18/80,33-216,LAL,,KCK,W (+13),1,40:00:00,6,12,0.5,0,0,,3,3,1,3,8,11,3,1,6,4,3,15,873
Kareem Abdul Jabbar,Regular Season,19,19,11/20/80,33-218,LAL,@,PHO,L (-3),1,40:00:00,12,23,0.522,0,1,0,5,5,1,2,6,8,2,2,2,2,2,29,874
Kareem Abdul Jabbar,Regular Season,20,20,11/21/80,33-219,LAL,,PHO,W (+28),1,37:00:00,14,27,0.519,0,0,,1,1,1,9,11,20,3,2,4,2,1,29,875
Kareem Abdul Jabbar,Regular Season,21,21,11/23/80,33-221,LAL,,MIL,L (-16),1,37:00:00,5,15,0.333,0,0,,8,10,0.8,2,8,10,6,1,1,3,5,18,876
Kareem Abdul Jabbar,Regular Season,22,22,11/27/80,33-225,LAL,@,GSW,W (+9),1,38:00:00,15,22,0.682,0,0,,10,14,0.714,3,8,11,4,1,1,4,3,40,877
Kareem Abdul Jabbar,Regular Season,23,23,11/29/80,33-227,LAL,@,DEN,W (+1),1,40:00:00,8,14,0.571,0,0,,9,12,0.75,3,10,13,6,2,1,2,6,25,878
Kareem Abdul Jabbar,Regular Season,24,24,11/30/80,33-228,LAL,,CHI,L (-14),1,39:00:00,12,25,0.48,0,0,,4,5,0.8,6,3,9,4,0,5,1,4,28,879
Kareem Abdul Jabbar,Regular Season,25,25,12/3/80,33-231,LAL,,SDC,L (-6),1,40:00:00,12,21,0.571,0,0,,9,10,0.9,3,5,8,7,1,3,6,2,33,880
Kareem Abdul Jabbar,Regular Season,26,26,12/6/80,33-234,LAL,@,GSW,L (-16),1,40:00:00,11,17,0.647,0,0,,5,8,0.625,1,7,8,3,1,3,5,2,27,881
Kareem Abdul Jabbar,Regular Season,27,27,12/7/80,33-235,LAL,,UTA,W (+13),1,35:00:00,10,15,0.667,0,0,,4,6,0.667,3,14,17,8,0,5,5,2,24,882
Kareem Abdul Jabbar,Regular Season,28,28,12/9/80,33-237,LAL,@,DAL,W (+11),1,38:00:00,12,23,0.522,0,0,,5,5,1,,,11,1,0,2,4,3,29,883
Kareem Abdul Jabbar,Regular Season,29,29,12/10/80,33-238,LAL,@,HOU,W (+1),1,38:00:00,9,18,0.5,0,0,,4,4,1,2,7,9,4,1,3,3,3,22,884
Kareem Abdul Jabbar,Regular Season,30,30,12/12/80,33-240,LAL,@,SEA,W (+6),1,39:00:00,10,16,0.625,0,0,,10,14,0.714,0,8,8,9,2,2,2,3,30,885
Kareem Abdul Jabbar,Regular Season,31,31,12/14/80,33-242,LAL,,GSW,W (+9),1,39:00:00,13,20,0.65,0,0,,3,5,0.6,1,8,9,1,2,5,6,2,29,886
Kareem Abdul Jabbar,Regular Season,32,32,12/16/80,33-244,LAL,@,SDC,L (-5),1,38:00:00,15,18,0.833,0,0,,2,2,1,,,9,4,2,2,6,1,32,887
Kareem Abdul Jabbar,Regular Season,33,33,12/19/80,33-247,LAL,,POR,L (-4),1,36:00:00,13,19,0.684,0,0,,8,9,0.889,6,5,11,2,0,6,1,6,34,888
Kareem Abdul Jabbar,Regular Season,34,34,12/21/80,33-249,LAL,,SAS,W (+13),1,38:00:00,15,27,0.556,0,0,,12,14,0.857,5,8,13,2,1,3,4,2,42,889
Kareem Abdul Jabbar,Regular Season,35,35,12/23/80,33-251,LAL,@,POR,L (-6),1,38:00:00,8,17,0.471,0,0,,9,12,0.75,4,9,13,1,0,3,3,2,25,890
Kareem Abdul Jabbar,Regular Season,36,36,12/26/80,33-254,LAL,,IND,W (+1),1,40:00:00,10,21,0.476,0,0,,9,10,0.9,6,9,15,2,1,1,3,4,29,891
Kareem Abdul Jabbar,Regular Season,37,37,12/27/80,33-255,LAL,@,PHO,L (-10),1,40:00:00,9,19,0.474,0,0,,9,12,0.75,0,8,8,1,0,2,3,4,27,892
Kareem Abdul Jabbar,Regular Season,38,38,12/28/80,33-256,LAL,,PHI,W (+6),1,36:00:00,14,25,0.56,0,0,,6,9,0.667,2,11,13,5,0,2,3,5,34,893
Kareem Abdul Jabbar,Regular Season,39,39,12/30/80,33-258,LAL,@,UTA,L (-10),1,39:00:00,13,20,0.65,0,0,,4,4,1,,,9,2,,0,,2,30,894
Kareem Abdul Jabbar,Regular Season,40,40,1/2/81,33-261,LAL,@,SAS,L (-6),1,36:00:00,17,21,0.81,0,0,,2,2,1,1,7,8,1,0,3,2,1,36,895
Kareem Abdul Jabbar,Regular Season,41,41,1/6/81,33-265,LAL,,WSB,W (+9),1,39:00:00,8,16,0.5,0,0,,6,7,0.857,1,15,16,2,1,3,0,3,22,896
Kareem Abdul Jabbar,Regular Season,42,42,1/9/81,33-268,LAL,,SEA,W (+5),1,38:00:00,9,20,0.45,0,0,,10,14,0.714,3,13,16,5,1,2,4,4,28,897
Kareem Abdul Jabbar,Regular Season,43,43,1/11/81,33-270,LAL,,DET,W (+9),1,33:00:00,9,14,0.643,0,0,,4,5,0.8,3,6,9,4,1,3,0,6,22,898
Kareem Abdul Jabbar,Regular Season,44,44,1/13/81,33-272,LAL,@,CLE,W (+4),1,39:00:00,13,20,0.65,0,0,,3,3,1,1,7,8,2,1,1,2,1,29,899
Kareem Abdul Jabbar,Regular Season,45,45,1/14/81,33-273,LAL,@,WSB,L (-10),1,39:00:00,11,27,0.407,0,0,,3,3,1,2,8,10,1,0,1,1,2,25,900
Kareem Abdul Jabbar,Regular Season,46,46,1/16/81,33-275,LAL,@,NJN,W (+2),1,37:00:00,13,18,0.722,0,0,,5,7,0.714,3,8,11,3,0,1,8,5,31,901
Kareem Abdul Jabbar,Regular Season,47,47,1/18/81,33-277,LAL,@,BOS,L (-2),1,41:00:00,13,25,0.52,0,0,,6,8,0.75,3,9,12,2,2,1,3,1,32,902
Kareem Abdul Jabbar,Regular Season,48,48,1/21/81,33-280,LAL,,ATL,W (+10),1,37:00:00,11,17,0.647,0,0,,2,4,0.5,1,9,10,7,0,5,2,4,24,903
Kareem Abdul Jabbar,Regular Season,49,49,1/23/81,33-282,LAL,,DEN,W (+5),1,38:00:00,12,21,0.571,0,0,,2,3,0.667,3,12,15,2,1,8,5,1,26,904
Kareem Abdul Jabbar,Regular Season,50,50,1/26/81,33-285,LAL,,POR,W (+12),1,35:00:00,12,18,0.667,0,0,,0,0,,2,10,12,3,2,5,1,4,24,905
Kareem Abdul Jabbar,Regular Season,51,51,1/27/81,33-286,LAL,,UTA,W (+7),1,38:00:00,10,15,0.667,0,0,,7,11,0.636,,,11,5,,4,,0,27,906
Kareem Abdul Jabbar,Regular Season,52,52,1/29/81,33-288,LAL,,KCK,W (+14),1,40:00:00,13,25,0.52,0,0,,9,10,0.9,,,13,1,0,2,,1,35,907
Kareem Abdul Jabbar,Regular Season,53,53,2/4/81,33-294,LAL,@,IND,W (+6),1,40:00:00,10,16,0.625,0,0,,9,15,0.6,5,11,16,3,2,1,3,4,29,908
Kareem Abdul Jabbar,Regular Season,54,54,2/6/81,33-296,LAL,@,DET,W (+9),1,37:00:00,11,23,0.478,0,0,,3,4,0.75,5,9,14,4,0,3,1,4,25,909
Kareem Abdul Jabbar,Regular Season,55,55,2/8/81,33-298,LAL,@,PHI,L (-3),1,42:00:00,7,15,0.467,0,0,,5,6,0.833,4,8,12,5,1,3,3,1,19,910
Kareem Abdul Jabbar,Regular Season,56,56,2/11/81,33-301,LAL,,BOS,L (-14),1,42:00:00,12,23,0.522,0,0,,8,12,0.667,1,8,9,3,2,3,2,2,32,911
Kareem Abdul Jabbar,Regular Season,57,57,2/13/81,33-303,LAL,@,HOU,W (+9),1,40:00:00,11,17,0.647,0,0,,8,8,1,3,9,12,4,1,2,2,4,30,912
Kareem Abdul Jabbar,Regular Season,58,58,2/15/81,33-305,LAL,,DAL,W (+8),1,36:00:00,15,20,0.75,0,0,,5,6,0.833,3,9,12,0,0,2,3,5,35,913
Kareem Abdul Jabbar,Regular Season,59,59,2/17/81,33-307,LAL,,NYK,W (+9),1,40:00:00,10,18,0.556,0,0,,8,11,0.727,0,10,10,4,1,4,3,5,28,914
Kareem Abdul Jabbar,Regular Season,60,60,2/20/81,33-310,LAL,,HOU,L (-3),1,37:00:00,14,26,0.538,0,0,,8,10,0.8,3,9,12,3,0,1,1,4,36,915
Kareem Abdul Jabbar,Regular Season,61,61,2/22/81,33-312,LAL,@,NYK,W (+3),1,40:00:00,12,17,0.706,0,0,,8,9,0.889,0,6,6,5,0,5,1,2,32,916
Kareem Abdul Jabbar,Regular Season,62,62,2/24/81,33-314,LAL,@,CHI,W (+10),1,37:00:00,10,23,0.435,0,0,,3,3,1,1,10,11,4,0,2,2,4,23,917
Kareem Abdul Jabbar,Regular Season,63,63,2/25/81,33-315,LAL,@,MIL,L (-18),1,36:00:00,12,18,0.667,0,0,,5,5,1,4,9,13,2,0,5,4,3,29,918
Kareem Abdul Jabbar,Regular Season,64,64,2/27/81,33-317,LAL,,NJN,W (+4),1,40:00:00,11,20,0.55,0,0,,6,8,0.75,3,8,11,6,1,4,2,5,28,919
Kareem Abdul Jabbar,Regular Season,65,65,3/1/81,33-319,LAL,,PHO,L (-5),1,39:00:00,12,19,0.632,0,0,,4,6,0.667,2,4,6,3,2,1,4,4,28,920
Kareem Abdul Jabbar,Regular Season,66,66,3/3/81,33-321,LAL,@,KCK,W (+1),1,41:00:00,9,14,0.643,0,0,,6,7,0.857,2,4,6,1,0,2,2,2,24,921
Kareem Abdul Jabbar,Regular Season,67,67,3/4/81,33-322,LAL,@,DEN,L (-9),1,35:00:00,10,17,0.588,0,0,,6,7,0.857,1,7,8,3,1,4,2,4,26,922
Kareem Abdul Jabbar,Regular Season,68,68,3/10/81,33-328,LAL,,SAS,W (+14),1,37:00:00,16,23,0.696,0,0,,3,5,0.6,4,5,9,2,0,5,3,3,35,923
Kareem Abdul Jabbar,Regular Season,69,69,3/12/81,33-330,LAL,@,SDC,W (+6),1,39:00:00,8,11,0.727,0,0,,10,14,0.714,0,5,5,3,0,1,6,5,26,924
Kareem Abdul Jabbar,Regular Season,70,70,3/13/81,33-331,LAL,,KCK,W (+15),1,35:00:00,9,12,0.75,0,0,,10,15,0.667,2,4,6,1,0,2,3,3,28,925
Kareem Abdul Jabbar,Regular Season,71,71,3/15/81,33-333,LAL,,SDC,L (-4),1,39:00:00,9,18,0.5,0,0,,8,8,1,3,6,9,2,0,0,1,2,26,926
Kareem Abdul Jabbar,Regular Season,72,72,3/17/81,33-335,LAL,@,DAL,W (+5),1,36:00:00,11,16,0.688,0,0,,6,10,0.6,1,7,8,1,0,3,3,1,28,927
Kareem Abdul Jabbar,Regular Season,73,73,3/18/81,33-336,LAL,@,PHO,L (-12),1,40:00:00,11,16,0.688,0,0,,5,5,1,4,4,8,0,1,1,6,1,27,928
Kareem Abdul Jabbar,Regular Season,74,74,3/20/81,33-338,LAL,,SEA,W (+14),1,34:00:00,15,23,0.652,0,0,,4,6,0.667,4,4,8,4,3,0,2,4,34,929
Kareem Abdul Jabbar,Regular Season,75,75,3/21/81,33-339,LAL,@,POR,W (+6),1,41:00:00,13,18,0.722,0,0,,5,7,0.714,2,17,19,3,0,4,4,4,31,930
Kareem Abdul Jabbar,Regular Season,76,76,3/22/81,33-340,LAL,@,GSW,W (+2),1,40:00:00,12,18,0.667,0,0,,7,12,0.583,1,6,7,0,0,1,3,4,31,931
Kareem Abdul Jabbar,Regular Season,77,77,3/24/81,33-342,LAL,,GSW,W (+7),1,37:00:00,6,8,0.75,0,0,,4,5,0.8,0,8,8,5,0,4,3,5,16,932
Kareem Abdul Jabbar,Regular Season,78,78,3/27/81,33-345,LAL,@,SEA,W (+7),1,36:00:00,10,19,0.526,0,0,,3,3,1,5,5,10,4,,,5,4,23,933
Kareem Abdul Jabbar,Regular Season,79,79,3/28/81,33-346,LAL,@,UTA,L (-2),1,34:00:00,9,14,0.643,0,0,,3,7,0.429,1,6,7,2,1,2,4,6,21,934
Kareem Abdul Jabbar,Regular Season,80,80,3/29/81,33-347,LAL,,DEN,L (-2),1,21:00,5,9,0.556,0,0,,0,0,,0,4,4,6,0,0,0,2,10,935
Kareem Abdul Jabbar,Regular Season,1,1,10/30/81,34-197,LAL,,HOU,L (-1),1,49:00:00,11,25,0.44,0,0,,11,16,0.688,,,10,2,0,4,6,5,33,936
Kareem Abdul Jabbar,Regular Season,2,2,11/3/81,34-201,LAL,@,POR,L (-2),1,37:00:00,12,15,0.8,0,0,,9,13,0.692,2,9,11,0,0,3,8,4,33,937
Kareem Abdul Jabbar,Regular Season,3,3,11/4/81,34-202,LAL,@,SEA,W (+3),1,40:00:00,8,16,0.5,0,0,,4,5,0.8,2,4,6,5,2,1,1,1,20,938
Kareem Abdul Jabbar,Regular Season,4,4,11/6/81,34-204,LAL,,PHO,L (-2),1,37:00:00,12,20,0.6,0,0,,3,3,1,3,11,14,1,0,1,5,2,27,939
Kareem Abdul Jabbar,Regular Season,5,5,11/8/81,34-206,LAL,,DAL,W (+10),1,28:00:00,5,12,0.417,0,0,,5,6,0.833,,,10,0,,,1,1,15,940
Kareem Abdul Jabbar,Regular Season,6,6,11/10/81,34-208,LAL,@,SAS,L (-26),1,37:00:00,13,20,0.65,0,0,,3,3,1,,,13,0,2,4,6,3,29,941
Kareem Abdul Jabbar,Regular Season,7,7,11/11/81,34-209,LAL,@,HOU,W (+2),1,40:00:00,9,21,0.429,0,0,,3,3,1,,,9,3,3,3,,4,21,942
Kareem Abdul Jabbar,Regular Season,8,8,11/13/81,34-211,LAL,,POR,W (+4),1,37:00:00,11,16,0.688,0,0,,7,10,0.7,1,6,7,2,1,2,3,3,29,943
Kareem Abdul Jabbar,Regular Season,9,9,11/14/81,34-212,LAL,@,PHO,W (+1),1,41:00:00,7,20,0.35,0,0,,7,12,0.583,4,13,17,3,2,0,1,4,21,944
Kareem Abdul Jabbar,Regular Season,10,10,11/15/81,34-213,LAL,,IND,W (+1),1,49:00:00,11,23,0.478,0,0,,1,2,0.5,4,16,20,5,1,4,6,2,23,945
Kareem Abdul Jabbar,Regular Season,11,11,11/18/81,34-216,LAL,@,UTA,W (+3),1,36:00:00,11,17,0.647,0,0,,5,5,1,,,5,2,,2,,0,27,946
Kareem Abdul Jabbar,Regular Season,12,12,11/20/81,34-218,LAL,,SAS,W (+20),1,36:00:00,15,22,0.682,0,0,,0,1,0,,,8,5,0,6,3,4,30,947
Kareem Abdul Jabbar,Regular Season,13,13,11/21/81,34-219,LAL,@,SDC,W (+2),1,39:00:00,12,16,0.75,0,0,,9,11,0.818,,,12,3,,1,2,2,33,948
Kareem Abdul Jabbar,Regular Season,14,14,11/24/81,34-222,LAL,@,DAL,W (+15),1,26:00:00,9,14,0.643,0,0,,7,7,1,,,6,2,,,2,5,25,949
Kareem Abdul Jabbar,Regular Season,15,15,11/25/81,34-223,LAL,@,SAS,W (+21),1,35:00:00,6,18,0.333,0,1,0,3,4,0.75,,,13,2,1,3,3,3,15,950
Kareem Abdul Jabbar,Regular Season,16,16,11/27/81,34-225,LAL,,SDC,L (-9),1,39:00:00,12,18,0.667,0,1,0,6,10,0.6,,,7,4,,5,,5,30,951
Kareem Abdul Jabbar,Regular Season,17,17,11/29/81,34-227,LAL,,HOU,W (+18),1,31:00:00,10,14,0.714,0,0,,3,5,0.6,,,3,4,0,4,,5,23,952
Kareem Abdul Jabbar,Regular Season,18,18,12/1/81,34-229,LAL,,UTA,W (+31),1,27:00:00,4,11,0.364,0,0,,6,9,0.667,,,11,1,,2,,1,14,953
Kareem Abdul Jabbar,Regular Season,19,19,12/2/81,34-230,LAL,@,SEA,L (-8),1,37:00:00,10,18,0.556,0,0,,10,13,0.769,6,4,10,3,1,1,5,5,30,954
Kareem Abdul Jabbar,Regular Season,20,20,12/4/81,34-232,LAL,@,DEN,W (+9),1,38:00:00,7,14,0.5,0,0,,3,4,0.75,0,4,4,2,0,5,1,2,17,955
Kareem Abdul Jabbar,Regular Season,21,21,12/6/81,34-234,LAL,,KCK,W (+13),1,33:00:00,9,16,0.563,0,0,,2,4,0.5,,,10,5,1,3,,2,20,956
Kareem Abdul Jabbar,Regular Season,22,22,12/8/81,34-236,LAL,,WSB,W (+4),1,41:00:00,6,16,0.375,0,0,,4,8,0.5,,,13,4,,,,3,16,957
Kareem Abdul Jabbar,Regular Season,23,23,12/11/81,34-239,LAL,,POR,W (+8),1,33:00:00,13,28,0.464,0,0,,3,6,0.5,3,6,9,4,0,4,1,4,29,958
Kareem Abdul Jabbar,Regular Season,24,24,12/13/81,34-241,LAL,,GSW,W (+4),1,40:00:00,15,21,0.714,0,0,,3,8,0.375,3,3,6,8,1,5,0,3,33,959
Kareem Abdul Jabbar,Regular Season,25,25,12/17/81,34-245,LAL,@,GSW,L (-5),1,32:00:00,9,17,0.529,0,0,,10,13,0.769,4,9,13,0,1,1,3,5,28,960
Kareem Abdul Jabbar,Regular Season,26,26,1/3/82,34-262,LAL,,SEA,L (-20),1,39:00:00,13,22,0.591,0,0,,0,0,,6,10,16,4,,3,3,4,26,961
Kareem Abdul Jabbar,Regular Season,27,27,1/8/82,34-267,LAL,@,CHI,L (-6),1,31:00:00,7,9,0.778,0,0,,2,2,1,2,2,4,7,0,1,1,4,16,962
Kareem Abdul Jabbar,Regular Season,28,28,1/9/82,34-268,LAL,@,DET,W (+3),1,39:00:00,13,22,0.591,0,0,,5,8,0.625,,,13,4,,,,2,31,963
Kareem Abdul Jabbar,Regular Season,29,29,1/10/82,34-269,LAL,@,MIL,L (-11),1,40:00:00,9,14,0.643,0,0,,4,6,0.667,,,7,2,1,1,5,4,22,964
Kareem Abdul Jabbar,Regular Season,30,30,1/12/82,34-271,LAL,@,CLE,W (+14),1,37:00:00,7,13,0.538,0,0,,6,6,1,1,6,7,5,1,3,2,3,20,965
Kareem Abdul Jabbar,Regular Season,31,31,1/15/82,34-274,LAL,@,IND,W (+5),1,38:00:00,11,17,0.647,0,0,,8,8,1,,,9,2,,3,5,2,30,966
Kareem Abdul Jabbar,Regular Season,32,32,1/17/82,34-276,LAL,@,KCK,W (+12),1,32:00:00,4,11,0.364,0,0,,2,4,0.5,,,11,3,1,2,,1,10,967
Kareem Abdul Jabbar,Regular Season,33,33,1/19/82,34-278,LAL,@,DEN,L (-1),1,35:00:00,9,14,0.643,0,0,,4,5,0.8,2,7,9,1,1,5,2,3,22,968
Kareem Abdul Jabbar,Regular Season,34,34,1/20/82,34-279,LAL,,NJN,W (+19),1,30:00:00,8,16,0.5,0,0,,4,8,0.5,,,8,3,,,,1,20,969
Kareem Abdul Jabbar,Regular Season,35,35,1/22/82,34-281,LAL,,DET,W (+12),1,35:00:00,9,13,0.692,0,0,,1,1,1,,,10,0,,10,,3,19,970
Kareem Abdul Jabbar,Regular Season,36,36,1/26/82,34-285,LAL,,MIL,L (-2),1,39:00:00,7,13,0.538,0,0,,2,6,0.333,,,15,5,1,4,7,3,16,971
Kareem Abdul Jabbar,Regular Season,37,37,1/28/82,34-287,LAL,,PHO,W (+10),1,37:00:00,14,18,0.778,0,0,,3,3,1,0,5,5,5,1,1,2,2,31,972
Kareem Abdul Jabbar,Regular Season,38,38,2/2/82,34-292,LAL,@,GSW,L (-2),1,37:00:00,12,19,0.632,0,0,,5,5,1,1,7,8,5,2,3,3,3,29,973
Kareem Abdul Jabbar,Regular Season,39,39,2/3/82,34-293,LAL,,NYK,L (-4),1,39:00:00,6,14,0.429,0,0,,0,2,0,,,4,7,,,,3,12,974
Kareem Abdul Jabbar,Regular Season,40,40,2/5/82,34-295,LAL,@,WSB,W (+3),1,33:00:00,3,9,0.333,0,0,,4,6,0.667,,,8,3,,0,,3,10,975
Kareem Abdul Jabbar,Regular Season,41,41,2/7/82,34-297,LAL,@,BOS,W (+6),1,40:00:00,16,20,0.8,0,0,,3,4,0.75,,,7,1,,,,4,35,976
Kareem Abdul Jabbar,Regular Season,42,42,2/9/82,34-299,LAL,@,ATL,W (+13),1,21:00,3,9,0.333,0,0,,8,9,0.889,,,8,5,,2,,2,14,977
Kareem Abdul Jabbar,Regular Season,43,43,2/10/82,34-300,LAL,@,KCK,L (-23),1,34:00:00,8,12,0.667,0,0,,4,4,1,,,5,3,0,4,,2,20,978
Kareem Abdul Jabbar,Regular Season,44,44,2/12/82,34-302,LAL,,SAS,L (-6),1,29:00:00,5,16,0.313,0,0,,0,1,0,,,6,2,0,1,2,4,10,979
Kareem Abdul Jabbar,Regular Season,45,45,2/14/82,34-304,LAL,,BOS,L (-5),1,40:00:00,7,16,0.438,0,0,,7,10,0.7,,,9,5,,,,5,21,980
Kareem Abdul Jabbar,Regular Season,46,46,2/16/82,34-306,LAL,,SEA,W (+7),1,37:00:00,12,20,0.6,0,0,,2,4,0.5,2,6,8,3,,2,5,3,26,981
Kareem Abdul Jabbar,Regular Season,47,47,2/19/82,34-309,LAL,,GSW,W (+20),1,25:00:00,8,14,0.571,0,0,,1,4,0.25,3,7,10,2,0,3,3,4,17,982
Kareem Abdul Jabbar,Regular Season,48,48,2/21/82,34-311,LAL,@,DEN,W (+1),1,34:00:00,8,14,0.571,0,0,,7,8,0.875,3,5,8,2,0,2,4,2,23,983
Kareem Abdul Jabbar,Regular Season,49,49,2/23/82,34-313,LAL,,DEN,W (+16),1,26:00:00,8,13,0.615,0,0,,1,1,1,1,6,7,3,0,2,2,3,17,984
Kareem Abdul Jabbar,Regular Season,50,50,2/25/82,34-315,LAL,@,SEA,W (+6),1,33:00:00,12,23,0.522,0,0,,7,9,0.778,1,6,7,0,2,0,1,3,31,985
Kareem Abdul Jabbar,Regular Season,51,51,2/26/82,34-316,LAL,,PHI,W (+2),1,49:00:00,17,27,0.63,0,0,,7,11,0.636,,,19,3,0,5,,2,41,986
Kareem Abdul Jabbar,Regular Season,52,52,2/28/82,34-318,LAL,,CLE,W (+1),1,40:00:00,15,23,0.652,0,0,,2,7,0.286,3,5,8,0,0,3,1,1,32,987
Kareem Abdul Jabbar,Regular Season,53,53,3/3/82,34-321,LAL,@,NJN,L (-8),1,38:00:00,11,17,0.647,0,0,,8,10,0.8,,,6,2,,,,1,30,988
Kareem Abdul Jabbar,Regular Season,54,54,3/4/82,34-322,LAL,@,NYK,L (-10),1,45:00:00,18,33,0.545,0,0,,3,3,1,,,14,3,,,,4,39,989
Kareem Abdul Jabbar,Regular Season,55,55,3/7/82,34-325,LAL,@,PHI,L (-6),1,38:00:00,11,17,0.647,0,0,,4,6,0.667,,,10,3,0,5,,3,26,990
Kareem Abdul Jabbar,Regular Season,56,56,3/9/82,34-327,LAL,,KCK,W (+6),1,28:00:00,6,10,0.6,0,0,,4,6,0.667,,,6,2,0,4,,4,16,991
Kareem Abdul Jabbar,Regular Season,57,57,3/12/82,34-330,LAL,,CHI,L (-6),1,41:00:00,10,22,0.455,0,0,,3,4,0.75,3,7,10,6,5,1,3,5,23,992
Kareem Abdul Jabbar,Regular Season,58,58,3/14/82,34-332,LAL,,DAL,W (+22),1,29:00:00,12,19,0.632,0,0,,4,4,1,,,6,3,,,0,2,28,993
Kareem Abdul Jabbar,Regular Season,59,59,3/16/82,34-334,LAL,@,POR,W (+12),1,38:00:00,11,22,0.5,0,0,,2,3,0.667,4,4,8,2,1,3,4,4,24,994
Kareem Abdul Jabbar,Regular Season,60,60,3/17/82,34-335,LAL,@,UTA,W (+8),1,38:00:00,13,20,0.65,0,0,,2,4,0.5,,,9,6,,2,,2,28,995
Kareem Abdul Jabbar,Regular Season,61,61,3/19/82,34-337,LAL,@,DAL,W (+6),1,39:00:00,11,14,0.786,0,0,,1,4,0.25,,,11,4,,,5,4,23,996
Kareem Abdul Jabbar,Regular Season,62,62,3/21/82,34-339,LAL,,HOU,W (+5),1,16:00,6,9,0.667,0,0,,0,1,0,,,6,4,1,2,,1,12,997
Kareem Abdul Jabbar,Regular Season,63,63,3/23/82,34-341,LAL,,DAL,L (-2),1,39:00:00,10,16,0.625,0,0,,12,17,0.706,,,4,1,,,3,4,32,998
Kareem Abdul Jabbar,Regular Season,64,64,3/26/82,34-344,LAL,@,SAS,L (-5),1,37:00:00,11,19,0.579,0,0,,6,8,0.75,,,10,3,1,0,5,0,28,999
Kareem Abdul Jabbar,Regular Season,65,65,3/28/82,34-346,LAL,@,KCK,W (+5),1,26:00:00,8,11,0.727,0,0,,2,2,1,,,2,2,,1,,4,18,1000
Kareem Abdul Jabbar,Regular Season,66,66,3/30/82,34-348,LAL,,SDC,W (+23),1,25:00:00,11,16,0.688,0,0,,6,7,0.857,,,4,2,,2,1,1,28,1001
Kareem Abdul Jabbar,Regular Season,67,67,4/1/82,34-350,LAL,@,SDC,W (+17),1,33:00:00,6,9,0.667,0,0,,4,6,0.667,,,5,2,,3,2,2,16,1002
