Player,Game Type,Rk,G,Date,Age,Tm,Venue,Opp,Outcome,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Game
Kareem Abdul Jabbar,Regular Season,11,11,11/2/73,26-200,MIL,@,CLE,W (+18),1,47:00:00,13,22,0.591,,,,9,10,0.9,5,11,16,11,5,0,,4,35,332
Kareem Abdul Jabbar,Regular Season,12,12,11/3/73,26-201,MIL,,DET,W (+8),1,53:00:00,7,16,0.438,,,,5,7,0.714,,,16,5,,10,,5,19,333
Kareem Abdul Jabbar,Regular Season,13,13,11/7/73,26-205,MIL,,LAL,W (+17),1,37:00:00,11,24,0.458,,,,0,0,,,,21,1,,3,,4,22,334
Kareem Abdul Jabbar,Regular Season,14,14,11/10/73,26-208,MIL,,KCO,W (+1),1,46:00:00,7,15,0.467,,,,5,6,0.833,,,19,7,1,7,,1,19,335
Kareem Abdul Jabbar,Regular Season,15,15,11/11/73,26-209,MIL,@,CAP,W (+19),1,46:00:00,11,25,0.44,,,,2,2,1,,,19,7,,3,,4,24,336
Kareem Abdul Jabbar,Regular Season,16,16,11/13/73,26-211,MIL,,POR,W (+8),1,42:00:00,10,15,0.667,,,,1,1,1,3,13,16,4,4,4,,4,21,337
Kareem Abdul Jabbar,Regular Season,17,17,11/16/73,26-214,MIL,@,BOS,L (-15),1,43:00:00,14,30,0.467,,,,0,0,,,,9,6,,1,,2,28,338
Kareem Abdul Jabbar,Regular Season,18,18,11/17/73,26-215,MIL,@,NYK,L (-7),1,47:00:00,9,20,0.45,,,,6,7,0.857,,,15,4,,3,,3,24,339
Kareem Abdul Jabbar,Regular Season,19,19,11/20/73,26-218,MIL,,GSW,L (-3),1,48:00:00,9,13,0.692,,,,2,2,1,2,9,11,3,3,5,,3,20,340
Kareem Abdul Jabbar,Regular Season,20,20,11/22/73,26-220,MIL,,NYK,W (+16),1,39:00:00,9,20,0.45,,,,2,3,0.667,,,9,4,,5,,2,20,341
Kareem Abdul Jabbar,Regular Season,21,21,11/24/73,26-222,MIL,@,ATL,W (+20),1,40:00:00,9,17,0.529,,,,3,5,0.6,,,21,3,,4,,3,21,342
Kareem Abdul Jabbar,Regular Season,22,22,11/25/73,26-223,MIL,,PHI,W (+9),1,40:00:00,14,19,0.737,,,,3,7,0.429,,,17,3,,0,,3,31,343
Kareem Abdul Jabbar,Regular Season,23,23,11/27/73,26-225,MIL,@,BUF,W (+5),1,48:00:00,17,31,0.548,,,,2,2,1,,,16,5,,3,,2,36,344
Kareem Abdul Jabbar,Regular Season,24,24,11/28/73,26-226,MIL,,SEA,W (+34),1,37:00:00,15,24,0.625,,,,2,3,0.667,,,14,8,,7,,3,32,345
Kareem Abdul Jabbar,Regular Season,25,25,11/30/73,26-228,MIL,,BOS,W (+24),1,46:00:00,12,21,0.571,,,,0,0,,,,14,8,,4,,5,24,346
Kareem Abdul Jabbar,Regular Season,26,26,12/4/73,26-232,MIL,,HOU,W (+15),1,46:00:00,11,21,0.524,,,,10,12,0.833,,,14,7,,7,,3,32,347
Kareem Abdul Jabbar,Regular Season,27,27,12/7/73,26-235,MIL,,POR,W (+30),1,37:00:00,6,10,0.6,,,,0,0,,0,15,15,4,2,4,,1,12,348
Kareem Abdul Jabbar,Regular Season,28,28,12/8/73,26-236,MIL,@,PHI,W (+13),1,45:00:00,5,15,0.333,,,,3,4,0.75,,,8,4,,6,,1,13,349
Kareem Abdul Jabbar,Regular Season,29,29,12/11/73,26-239,MIL,,SEA,W (+39),1,32:00:00,8,12,0.667,,,,0,0,,,,15,2,,3,,2,16,350
Kareem Abdul Jabbar,Regular Season,30,30,12/13/73,26-241,MIL,,CHI,L (-3),1,45:00:00,10,17,0.588,,,,3,6,0.5,,,15,4,,1,,4,23,351
Kareem Abdul Jabbar,Regular Season,31,31,12/15/73,26-243,MIL,,ATL,W (+34),1,41:00:00,9,15,0.6,,,,3,4,0.75,,,12,6,,2,,2,21,352
Kareem Abdul Jabbar,Regular Season,32,32,12/16/73,26-244,MIL,@,POR,W (+23),1,38:00:00,12,18,0.667,,,,8,9,0.889,3,8,11,2,0,7,,5,32,353
Kareem Abdul Jabbar,Regular Season,33,33,12/18/73,26-246,MIL,@,LAL,L (-2),1,48:00:00,17,30,0.567,,,,3,4,0.75,9,15,24,5,2,3,,1,37,354
